periodo,valor
2022-6-29,60.85
2022-6-30,60.85
2022-7-01,60.85
2022-7-04,60.85
2022-7-05,60.85
2022-7-06,60.85
2022-7-07,60.85
2022-7-08,60.85
2022-7-11,60.85
2022-7-12,60.85
2022-7-13,60.85
2022-7-14,60.85
2022-7-15,60.85
2022-7-18,60.85
2022-7-19,60.85
2022-7-20,60.85
2022-7-21,60.85
2022-7-22,60.85
2022-7-25,60.85
2022-7-26,61.85
2022-7-27,63.35
2022-7-28,63.35
2022-7-29,63.35
2022-8-01,63.35
2022-8-02,63.35
2022-8-03,63.35
2022-8-04,63.35
2022-8-05,63.35
2022-8-08,63.35
2022-8-09,63.35
2022-8-10,63.35
2022-8-11,63.35
2022-8-12,63.35
2022-8-15,63.35
2022-8-16,63.35
2022-8-17,63.35
2022-8-18,63.35
2022-8-19,63.55
2022-8-22,63.75
2022-8-23,63.75
2022-8-24,64.25
2022-8-25,64.25
2022-8-26,64.25
2022-8-29,64.25
2022-8-30,64.25
2022-8-31,64.25
2022-9-01,64.25
2022-9-02,64.25
2022-9-05,64.55
2022-9-06,64.55
2022-9-07,64.55
2022-9-08,64.55
2022-9-09,64.75
2022-9-13,64.75
2022-9-14,64.75
2022-9-15,64.75
2022-9-16,64.85
2022-9-19,64.85
2022-9-20,64.85
2022-9-21,64.85
2022-9-22,64.85
2022-9-23,64.85
2022-9-26,64.95
2022-9-27,65.05
2022-9-28,65.05
2022-9-29,65.05
2022-10-10,65.05
2022-10-11,65.05
2022-10-12,65.05
2022-10-13,65.05
2022-10-14,66.05
2022-10-17,66.25
2022-10-18,66.25
2022-10-19,66.25
2022-10-20,66.25
2022-10-21,66.75
2022-10-24,66.75
2022-10-25,66.75
2022-10-26,67.75
2022-10-27,67.75
2022-10-28,67.75
2022-10-31,67.75
2022-11-01,68.25
2022-11-02,68.25
2022-11-03,68.35
2022-11-04,69.35
2022-11-07,69.45
2022-11-08,69.45
2022-11-09,69.45
2022-11-10,69.45
2022-11-11,69.65
2022-11-14,69.65
2022-11-15,69.55
2022-11-16,69.35
2022-11-17,69.35
2022-11-18,69.35
2022-11-21,69.35
2022-11-22,69.35
2022-11-23,69.25
2022-11-24,68.75
2022-11-25,68.55
2022-11-28,68.55
2022-11-29,68.55
2022-11-30,68.55
2022-12-01,68.55
2022-12-02,68.55
2022-12-05,68.55
2022-12-06,68.05
2022-12-07,68.05
2022-12-08,68.05
2022-12-09,68.05
2022-12-12,68.05
2022-12-13,67.85
2022-12-14,67.85
2022-12-15,67.85
2022-12-16,67.55
2022-12-19,67.35
2022-12-20,67.35
2022-12-21,67.05
2022-12-22,67.05
2022-12-23,66.45
2022-12-26,66.35
2022-12-27,66.05
2022-12-28,65.75
2022-12-29,65.45
2022-12-30,65.25
2023-1-03,65.25
2023-1-04,64.75
2023-1-05,64.45
2023-1-06,64.05
2023-1-09,64.05
2023-1-10,63.95
2023-1-11,63.85
2023-1-12,63.85
2023-1-13,63.85
2023-1-16,63.85
2023-1-17,63.85
2023-1-18,63.85
2023-1-30,63.85
2023-1-31,63.85
2023-2-01,63.85
2023-2-02,63.85
